TO Number,SPX Tracking Number,TO Status,High Value,Sender ID,Sender Name,Sender Type,Sender Station Type,Receiver ID,Receiver Name,Receiver type,Receiver Station Type,Current Station,TO Order Quantity,TO Direction,Volumetric Weight,Weight,Length,Width,Height,Line Hual Trip Number,Operator,Create Time,Complete Time,Driver,Driver Scan Time,Journey Type,Remark,Receive Status,TO Remark,Staging Area ID,Exception Tag,Packing Method,Dangerous Goods
TO20250918C607D,PH2502094419152,Packed,-,2133,SOC 5,Station,SOC,54,Mandaue DC,Station,SOC,SOC 5,43,Forward,0,53.793,0,0,0,,CBSNC001PH2133/159/IND000001,2025-09-18 00:02:20,2025-09-18 00:02:25,,,Forward,,Pending Receive,,OBS-093S,,Individual Packing,
TO20250918C607D,PH251050854257N,Packed,-,2133,SOC 5,Station,SOC,54,Mandaue DC,Station,SOC,SOC 5,43,Forward,0,53.793,0,0,0,,CBSNC001PH2133/159/IND000001,2025-09-18 00:02:20,2025-09-18 00:02:25,,,Forward,,Pending Receive,,OBS-093S,,Individual Packing,
TO20250918C607D,PH251615499728Z,Packed,-,2133,SOC 5,Station,SOC,54,Mandaue DC,Station,SOC,SOC 5,43,Forward,0,53.793,0,0,0,,CBSNC001PH2133/159/IND000001,2025-09-18 00:02:20,2025-09-18 00:02:25,,,Forward,,Pending Receive,,OBS-093S,,Individual Packing,
TO20250918C607D,PH251918351351W,Packed,-,2133,SOC 5,Station,SOC,54,Mandaue DC,Station,SOC,SOC 5,43,Forward,0,53.793,0,0,0,,CBSNC001PH2133/159/IND000001,2025-09-18 00:02:20,2025-09-18 00:02:25,,,Forward,,Pending Receive,,OBS-093S,,Individual Packing,
TO20250918C607D,PH251941011306I,Packed,-,2133,SOC 5,Station,SOC,54,Mandaue DC,Station,SOC,SOC 5,43,Forward,0,53.793,0,0,0,,CBSNC001PH2133/159/IND000001,2025-09-18 00:02:20,2025-09-18 00:02:25,,,Forward,,Pending Receive,,OBS-093S,,Individual Packing,
TO20250918C607D,PH2520087511223,Packed,-,2133,SOC 5,Station,SOC,54,Mandaue DC,Station,SOC,SOC 5,43,Forward,0,53.793,0,0,0,,CBSNC001PH2133/159/IND000001,2025-09-18 00:02:20,2025-09-18 00:02:25,,,Forward,,Pending Receive,,OBS-093S,,Individual Packing,
TO20250918C607D,PH2521179390636,Packed,-,2133,SOC 5,Station,SOC,54,Mandaue DC,Station,SOC,SOC 5,43,Forward,0,53.793,0,0,0,,CBSNC001PH2133/159/IND000001,2025-09-18 00:02:20,2025-09-18 00:02:25,,,Forward,,Pending Receive,,OBS-093S,,Individual Packing,
TO20250918C607D,PH253115664516Y,Packed,-,2133,SOC 5,Station,SOC,54,Mandaue DC,Station,SOC,SOC 5,43,Forward,0,53.793,0,0,0,,CBSNC001PH2133/159/IND000001,2025-09-18 00:02:20,2025-09-18 00:02:25,,,Forward,,Pending Receive,,OBS-093S,,Individual Packing,
TO20250918C607D,PH253826799496V,Packed,-,2133,SOC 5,Station,SOC,54,Mandaue DC,Station,SOC,SOC 5,43,Forward,0,53.793,0,0,0,,CBSNC001PH2133/159/IND000001,2025-09-18 00:02:20,2025-09-18 00:02:25,,,Forward,,Pending Receive,,OBS-093S,,Individual Packing,
TO20250918C607D,PH253865501693W,Packed,-,2133,SOC 5,Station,SOC,54,Mandaue DC,Station,SOC,SOC 5,43,Forward,0,53.793,0,0,0,,CBSNC001PH2133/159/IND000001,2025-09-18 00:02:20,2025-09-18 00:02:25,,,Forward,Pack in another TO,Abnormal ,,OBS-093S,,Individual Packing,
TO20250918C607D,PH2540604483046,Packed,-,2133,SOC 5,Station,SOC,54,Mandaue DC,Station,SOC,SOC 5,43,Forward,0,53.793,0,0,0,,CBSNC001PH2133/159/IND000001,2025-09-18 00:02:20,2025-09-18 00:02:25,,,Forward,,Pending Receive,,OBS-093S,,Individual Packing,
TO20250918C607D,PH2540805117574,Packed,-,2133,SOC 5,Station,SOC,54,Mandaue DC,Station,SOC,SOC 5,43,Forward,0,53.793,0,0,0,,CBSNC001PH2133/159/IND000001,2025-09-18 00:02:20,2025-09-18 00:02:25,,,Forward,,Pending Receive,,OBS-093S,,Individual Packing,
TO20250918C607D,PH254261234679I,Packed,-,2133,SOC 5,Station,SOC,54,Mandaue DC,Station,SOC,SOC 5,43,Forward,0,53.793,0,0,0,,CBSNC001PH2133/159/IND000001,2025-09-18 00:02:20,2025-09-18 00:02:25,,,Forward,,Pending Receive,,OBS-093S,,Individual Packing,
TO20250918C607D,PH2543329070655,Packed,-,2133,SOC 5,Station,SOC,54,Mandaue DC,Station,SOC,SOC 5,43,Forward,0,53.793,0,0,0,,CBSNC001PH2133/159/IND000001,2025-09-18 00:02:20,2025-09-18 00:02:25,,,Forward,,Pending Receive,,OBS-093S,,Individual Packing,
TO20250918C607D,PH2543690082798,Packed,-,2133,SOC 5,Station,SOC,54,Mandaue DC,Station,SOC,SOC 5,43,Forward,0,53.793,0,0,0,,CBSNC001PH2133/159/IND000001,2025-09-18 00:02:20,2025-09-18 00:02:25,,,Forward,,Pending Receive,,OBS-093S,,Individual Packing,
TO20250918C607D,PH2544540686624,Packed,-,2133,SOC 5,Station,SOC,54,Mandaue DC,Station,SOC,SOC 5,43,Forward,0,53.793,0,0,0,,CBSNC001PH2133/159/IND000001,2025-09-18 00:02:20,2025-09-18 00:02:25,,,Forward,,Pending Receive,,OBS-093S,,Individual Packing,
TO20250918C607D,PH256186333450Y,Packed,-,2133,SOC 5,Station,SOC,54,Mandaue DC,Station,SOC,SOC 5,43,Forward,0,53.793,0,0,0,,CBSNC001PH2133/159/IND000001,2025-09-18 00:02:20,2025-09-18 00:02:25,,,Forward,,Pending Receive,,OBS-093S,,Individual Packing,
TO20250918C607D,PH256549931847K,Packed,-,2133,SOC 5,Station,SOC,54,Mandaue DC,Station,SOC,SOC 5,43,Forward,0,53.793,0,0,0,,CBSNC001PH2133/159/IND000001,2025-09-18 00:02:20,2025-09-18 00:02:25,,,Forward,,Pending Receive,,OBS-093S,,Individual Packing,
TO20250918C607D,PH256593403232T,Packed,-,2133,SOC 5,Station,SOC,54,Mandaue DC,Station,SOC,SOC 5,43,Forward,0,53.793,0,0,0,,CBSNC001PH2133/159/IND000001,2025-09-18 00:02:20,2025-09-18 00:02:25,,,Forward,,Pending Receive,,OBS-093S,,Individual Packing,
TO20250918C607D,PH256598075644N,Packed,-,2133,SOC 5,Station,SOC,54,Mandaue DC,Station,SOC,SOC 5,43,Forward,0,53.793,0,0,0,,CBSNC001PH2133/159/IND000001,2025-09-18 00:02:20,2025-09-18 00:02:25,,,Forward,,Pending Receive,,OBS-093S,,Individual Packing,
TO20250918C607D,PH2566059135349,Packed,-,2133,SOC 5,Station,SOC,54,Mandaue DC,Station,SOC,SOC 5,43,Forward,0,53.793,0,0,0,,CBSNC001PH2133/159/IND000001,2025-09-18 00:02:20,2025-09-18 00:02:25,,,Forward,,Pending Receive,,OBS-093S,,Individual Packing,
TO20250918C607D,PH2568713337582,Packed,-,2133,SOC 5,Station,SOC,54,Mandaue DC,Station,SOC,SOC 5,43,Forward,0,53.793,0,0,0,,CBSNC001PH2133/159/IND000001,2025-09-18 00:02:20,2025-09-18 00:02:25,,,Forward,,Pending Receive,,OBS-093S,,Individual Packing,
